Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
94,Cheick Doucouré,mlMLI,MF,Crystal Palace,25-115,2000.0,5.0,9,1.79,5,0,0,2,1,1,3,0.6,1,0,0,1,1,0,Matches
95,Chidozie Obi-Martin,dkDEN,FW,Manchester Utd,17-155,2007.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
96,Chiedozie Ogbene,ieIRL,FW,Ipswich Town,28-002,1997.0,2.6,3,1.13,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
97,Chiquinho,ptPOR,MF,Wolves,25-087,2000.0,0.1,2,25.71,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
98,Chris Richards,usUSA,DF,Crystal Palace,25-036,2000.0,17.4,7,0.4,3,0,0,2,1,1,2,0.12,0,0,0,2,0,0,Matches
99,Chris Wood,nzNZL,FW,Nott'ham Forest,33-147,1991.0,28.9,39,1.35,31,0,2,4,0,2,5,0.17,4,0,0,0,0,1,Matches
100,Christian Eriksen,dkDEN,MF,Manchester Utd,33-078,1992.0,11.0,45,4.07,29,14,0,2,0,0,6,0.54,4,2,0,0,0,0,Matches
101,Christian Nørgaard,dkDEN,MF,Brentford,31-054,1994.0,27.3,48,1.76,39,0,0,6,2,1,9,0.33,8,0,0,0,1,0,Matches
102,Christian Walton,engENG,GK,Ipswich Town,29-175,1995.0,6.0,2,0.33,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
103,Christopher Nkunku,frFRA,FW,Chelsea,27-170,1997.0,10.2,34,3.32,21,0,5,5,1,2,4,0.39,1,0,1,1,1,0,Matches
104,Cody Gakpo,nlNED,FW,Liverpool,25-361,1999.0,18.1,70,3.87,52,0,8,5,3,2,7,0.39,3,0,3,0,1,0,Matches
105,Cole Palmer,engENG,MF,Chelsea,22-362,2002.0,31.5,180,5.72,120,21,12,18,7,2,14,0.45,10,0,2,1,1,0,Matches
106,Conor Bradley,nirNIR,DF,Liverpool,21-298,2003.0,5.9,16,2.71,11,0,4,0,1,0,2,0.34,2,0,0,0,0,0,Matches
107,Conor Chaplin,engENG,"MF,FW",Ipswich Town,28-076,1997.0,7.2,19,2.66,17,2,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
108,Conor Coady,engENG,DF,Leicester City,32-067,1993.0,15.0,4,0.27,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
109,Conor Townsend,engENG,DF,Ipswich Town,32-060,1993.0,3.7,5,1.34,4,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
110,Craig Dawson,engENG,DF,Wolves,34-362,1990.0,10.8,7,0.65,6,0,0,1,0,0,2,0.19,1,0,0,1,0,0,Matches
111,Cristian Romero,arARG,DF,Tottenham,27-006,1998.0,15.7,20,1.27,16,0,0,4,0,0,4,0.25,3,0,0,1,0,0,Matches
