Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
422,Nélson Semedo,ptPOR,DF,Wolves,31-168,1993.0,29.6,0,16,6,37.5,0.54,0.2,0.0,0.0,23.4,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
423,Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-107,1998.0,1.3,0,5,1,20.0,3.91,0.78,0.0,0.0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
424,Odsonne Édouard,frFRA,FW,Leicester City,27-107,1998.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
425,Ola Aina,ngNGA,DF,Nott'ham Forest,28-207,1996.0,29.4,2,9,2,22.2,0.31,0.07,0.22,1.0,24.8,0,0,0,0.6,0.6,0.07,1.4,1.4,Matches
426,Oleksandr Zinchenko,uaUKR,"DF,MF",Arsenal,28-139,1996.0,5.0,0,6,0,0.0,1.2,0.0,0.0,,18.0,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
427,Oliver Scarles,engENG,DF,West Ham,19-142,2005.0,6.6,0,3,0,0.0,0.45,0.0,0.0,,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
428,Oliver Skipp,engENG,MF,Leicester City,24-229,2000.0,10.1,0,4,1,25.0,0.4,0.1,0.0,0.0,21.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
429,Ollie Watkins,engENG,FW,Aston Villa,29-124,1995.0,25.1,15,76,32,42.1,3.02,1.27,0.17,0.41,12.2,0,2,2,14.5,13.0,0.17,0.5,0.0,Matches
430,Omar Marmoush,egEGY,"FW,MF",Manchester City,26-085,1999.0,11.1,6,38,16,42.1,3.43,1.44,0.16,0.38,18.0,5,0,0,4.8,4.8,0.13,1.2,1.2,Matches
431,Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-185,2003.0,24.7,3,36,16,44.4,1.46,0.65,0.08,0.19,20.8,4,0,0,2.3,2.3,0.06,0.7,0.7,Matches
432,Orel Mangala,beBEL,MF,Everton,27-046,1998.0,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
433,Oscar Bobb,noNOR,FW,Manchester City,21-295,2003.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
434,Pablo Sarabia,esESP,"MF,FW",Wolves,32-357,1992.0,8.0,3,17,8,47.1,2.14,1.01,0.18,0.38,18.9,2,0,0,2.9,2.9,0.17,0.1,0.1,Matches
435,Pape Matar Sarr,snSEN,MF,Tottenham,22-231,2002.0,18.2,3,31,13,41.9,1.71,0.72,0.1,0.23,21.7,0,0,0,3.3,3.3,0.11,-0.3,-0.3,Matches
436,Patrick Dorgu,dkDEN,DF,Manchester Utd,20-189,2004.0,6.5,0,9,2,22.2,1.38,0.31,0.0,0.0,16.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
437,Patson Daka,zmZAM,"FW,MF",Leicester City,26-206,1998.0,7.2,1,15,4,26.7,2.09,0.56,0.07,0.25,14.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
438,Pau Torres,esESP,DF,Aston Villa,28-107,1997.0,19.2,0,8,2,25.0,0.42,0.1,0.0,0.0,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
439,Paul Onuachu,ngNGA,FW,Southampton,30-340,1994.0,10.9,4,32,14,43.8,2.93,1.28,0.13,0.29,10.4,0,0,0,3.3,3.3,0.1,0.7,0.7,Matches
440,Pedro Lima,brBRA,DF,Wolves,18-306,2006.0,0.8,0,1,1,100.0,1.29,1.29,0.0,0.0,22.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
441,Pedro Neto,ptPOR,FW,Chelsea,25-055,2000.0,21.4,4,51,16,31.4,2.39,0.75,0.08,0.25,18.9,0,0,0,2.8,2.8,0.05,1.2,1.2,Matches
442,Pedro Porro,esESP,DF,Tottenham,25-232,1999.0,27.4,2,37,8,21.6,1.35,0.29,0.05,0.25,23.1,3,0,0,1.5,1.5,0.04,0.5,0.5,Matches
443,Pervis Estupiñán,ecECU,DF,Brighton,27-102,1998.0,23.7,1,22,7,31.8,0.93,0.3,0.05,0.14,25.1,3,0,0,0.9,0.9,0.04,0.1,0.1,Matches
444,Phil Foden,engENG,"MF,FW",Manchester City,24-340,2000.0,18.8,7,52,16,30.8,2.76,0.85,0.13,0.44,18.5,2,0,0,5.1,5.1,0.1,1.9,1.9,Matches
445,Philip Billing,dkDEN,MF,Bournemouth,28-326,1996.0,2.0,0,5,1,20.0,2.45,0.49,0.0,0.0,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
446,Radu Drăgușin,roROU,DF,Tottenham,23-089,2002.0,13.9,0,5,1,20.0,0.36,0.07,0.0,0.0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
447,Raheem Sterling,engENG,"FW,MF",Arsenal,30-146,1994.0,4.8,0,10,0,0.0,2.08,0.0,0.0,,15.0,2,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
448,Ramón Sosa,pyPAR,"FW,MF",Nott'ham Forest,25-245,1999.0,3.0,1,11,5,45.5,3.67,1.67,0.09,0.2,18.6,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
449,Rasmus Højlund,dkDEN,FW,Manchester Utd,22-088,2003.0,19.4,4,25,10,40.0,1.29,0.52,0.16,0.4,12.8,0,0,0,3.8,3.8,0.15,0.2,0.2,Matches
450,Rayan Aït-Nouri,dzALG,DF,Wolves,23-331,2001.0,31.8,4,34,8,23.5,1.07,0.25,0.12,0.5,14.9,0,0,0,2.6,2.6,0.08,1.4,1.4,Matches
451,Raúl Jiménez,mxMEX,FW,Fulham,33-363,1991.0,23.7,10,83,27,32.5,3.5,1.14,0.08,0.26,14.3,0,3,3,11.2,8.8,0.11,-1.2,-1.8,Matches
452,Reece James,engENG,"DF,MF",Chelsea,25-146,1999.0,9.3,1,8,3,37.5,0.86,0.32,0.13,0.33,23.2,2,0,0,0.3,0.3,0.03,0.7,0.7,Matches
453,Reiss Nelson,engENG,FW,Fulham,25-144,1999.0,5.4,1,12,6,50.0,2.22,1.11,0.08,0.17,15.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
454,Reiss Nelson,engENG,FW,Arsenal,25-144,1999.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
455,Remy Rees-Dottin,engENG,FW,Bournemouth,19-058,2006.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
456,Renato Veiga,ptPOR,"DF,MF",Chelsea,21-278,2003.0,2.0,0,3,1,33.3,1.49,0.5,0.0,0.0,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
457,Ricardo Pereira,ptPOR,DF,Leicester City,31-209,1993.0,3.8,0,2,1,50.0,0.53,0.26,0.0,0.0,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
458,Riccardo Calafiori,itITA,DF,Arsenal,22-349,2002.0,10.3,2,10,6,60.0,0.97,0.58,0.2,0.33,14.1,0,0,0,0.9,0.9,0.09,1.1,1.1,Matches
459,Richarlison,brBRA,FW,Tottenham,27-358,1997.0,4.5,4,15,7,46.7,3.31,1.54,0.27,0.57,8.4,0,0,0,3.6,3.6,0.24,0.4,0.4,Matches
460,Rico Henry,engENG,DF,Brentford,27-299,1997.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
461,Rico Lewis,engENG,"DF,MF",Manchester City,20-163,2004.0,20.2,1,10,2,20.0,0.5,0.1,0.1,0.5,15.8,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches
462,Robert Sánchez,esESP,GK,Chelsea,27-166,1997.0,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
463,Robin Olsen,seSWE,GK,Aston Villa,35-115,1990.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
464,Rodri,esESP,MF,Manchester City,28-315,1996.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
465,Rodrigo Bentancur,uyURU,MF,Tottenham,27-312,1997.0,16.9,2,22,5,22.7,1.3,0.3,0.09,0.4,17.4,0,0,0,1.3,1.3,0.06,0.7,0.7,Matches
466,Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-300,2003.0,7.5,2,6,3,50.0,0.8,0.4,0.33,0.67,17.3,0,0,0,0.6,0.6,0.09,1.4,1.4,Matches
467,Rodrigo Muniz,brBRA,FW,Fulham,23-364,2001.0,10.7,8,39,19,48.7,3.64,1.77,0.21,0.42,12.0,0,0,0,5.8,5.8,0.15,2.2,2.2,Matches
468,Romain Esse,engENG,MF,Crystal Palace,19-355,2005.0,0.4,1,1,1,100.0,2.65,2.65,1.0,1.0,2.8,0,0,0,0.3,0.3,0.32,0.7,0.7,Matches
469,Roman Dixon,engENG,DF,Everton,20-128,2004.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
470,Roméo Lavia,beBEL,MF,Chelsea,21-117,2004.0,6.7,0,1,0,0.0,0.15,0.0,0.0,,16.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
471,Ronnie Edwards,engENG,DF,Southampton,22-036,2003.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
472,Ross Barkley,engENG,MF,Aston Villa,31-149,1993.0,6.3,3,15,5,33.3,2.4,0.8,0.2,0.6,14.0,0,0,0,1.7,1.7,0.11,1.3,1.3,Matches
473,Ross Stewart,sctSCO,FW,Southampton,28-296,1996.0,2.7,0,3,0,0.0,1.12,0.0,0.0,,12.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
474,Ryan Christie,sctSCO,MF,Bournemouth,30-070,1995.0,23.5,2,33,12,36.4,1.4,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,0.2,0.2,Matches
475,Ryan Fraser,sctSCO,"FW,DF",Southampton,31-068,1994.0,3.4,0,1,1,100.0,0.29,0.29,0.0,0.0,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
476,Ryan Gravenberch,nlNED,MF,Liverpool,22-352,2002.0,32.5,0,18,5,27.8,0.55,0.15,0.0,0.0,24.7,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
477,Ryan Manning,ieIRL,"DF,MF",Southampton,28-323,1996.0,15.2,0,7,1,14.3,0.46,0.07,0.0,0.0,20.8,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
478,Ryan Sessegnon,engENG,"FW,DF",Fulham,24-350,2000.0,4.6,4,13,7,53.8,2.83,1.52,0.31,0.57,12.6,0,0,0,1.6,1.6,0.12,2.4,2.4,Matches
479,Ryan Trevitt,engENG,MF,Brentford,22-052,2003.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
480,Ryan Yates,engENG,MF,Nott'ham Forest,27-163,1997.0,20.7,2,32,9,28.1,1.55,0.44,0.06,0.22,19.3,0,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches
481,Rúben Dias,ptPOR,DF,Manchester City,27-354,1997.0,22.2,0,18,5,27.8,0.81,0.22,0.0,0.0,19.2,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
482,Sam Johnstone,engENG,GK,Wolves,32-039,1993.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
483,Sam Morsy,egEGY,MF,Ipswich Town,33-235,1991.0,26.9,1,9,2,22.2,0.33,0.07,0.11,0.5,26.3,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
484,Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-221,1995.0,10.9,4,21,12,57.1,1.93,1.1,0.19,0.33,14.0,0,0,0,3.4,3.4,0.16,0.6,0.6,Matches
485,Samuel Amo-Ameyaw,engENG,"FW,DF",Southampton,18-289,2006.0,0.3,0,1,0,0.0,3.21,0.0,0.0,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
486,Samuel Edozie,engENG,"DF,FW",Southampton,22-095,2003.0,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
487,Sander Berge,noNOR,MF,Fulham,27-078,1998.0,22.4,0,2,0,0.0,0.09,0.0,0.0,,7.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
488,Sandro Tonali,itITA,MF,Newcastle Utd,24-360,2000.0,25.2,3,31,10,32.3,1.23,0.4,0.1,0.3,19.5,2,0,0,3.6,3.6,0.12,-0.6,-0.6,Matches
489,Santiago Bueno,uyURU,DF,Wolves,26-175,1998.0,18.7,0,6,3,50.0,0.32,0.16,0.0,0.0,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
490,Saša Lukić,rsSRB,MF,Fulham,28-263,1996.0,23.1,0,15,2,13.3,0.65,0.09,0.0,0.0,20.9,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
491,Scott McTominay,sctSCO,MF,Manchester Utd,28-146,1996.0,0.2,0,1,0,0.0,4.74,0.0,0.0,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
492,Sean Longstaff,engENG,MF,Newcastle Utd,27-185,1997.0,8.9,0,6,1,16.7,0.68,0.11,0.0,0.0,13.5,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
493,Sepp van den Berg,nlNED,DF,Brentford,23-134,2001.0,24.7,0,15,5,33.3,0.61,0.2,0.0,0.0,10.8,0,0,0,1.6,1.6,0.11,-1.6,-1.6,Matches
494,Sergio Reguilón,esESP,DF,Tottenham,28-138,1996.0,1.4,0,1,0,0.0,0.73,0.0,0.0,,5.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
495,Shumaira Mheuka,engENG,MF,Chelsea,17-195,2007.0,0.0,0,1,1,100.0,90.0,90.0,0.0,0.0,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
496,Simon Adingra,ciCIV,"FW,MF",Brighton,23-122,2002.0,9.9,2,25,7,28.0,2.53,0.71,0.08,0.29,16.2,0,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches
497,Solly March,engENG,"FW,MF",Brighton,30-287,1994.0,1.9,0,2,0,0.0,1.07,0.0,0.0,,22.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
498,Son Heung-min,krKOR,FW,Tottenham,32-299,1992.0,22.3,7,53,24,45.3,2.38,1.08,0.11,0.25,17.0,1,1,2,7.0,5.4,0.1,0.0,0.6,Matches
499,Stefan Ortega,deGER,GK,Manchester City,32-178,1992.0,12.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
500,Stephy Mavididi,engENG,FW,Leicester City,26-337,1998.0,17.9,4,26,7,26.9,1.45,0.39,0.15,0.57,16.1,1,0,0,1.8,1.8,0.07,2.2,2.2,Matches
501,Sven Botman,nlNED,DF,Newcastle Utd,25-111,2000.0,2.6,0,1,0,0.0,0.39,0.0,0.0,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
502,Sávio,brBRA,"FW,MF",Manchester City,21-023,2004.0,19.3,1,54,21,38.9,2.8,1.09,0.02,0.05,17.7,1,0,0,4.9,4.9,0.09,-3.9,-3.9,Matches
503,Séamus Coleman,ieIRL,DF,Everton,36-204,1988.0,2.2,0,1,1,100.0,0.46,0.46,0.0,0.0,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches
504,Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-264,1997.0,4.5,1,10,4,40.0,2.21,0.88,0.1,0.25,12.6,0,0,0,2.1,2.1,0.21,-1.1,-1.1,Matches
505,Takehiro Tomiyasu,jpJPN,DF,Arsenal,26-179,1998.0,0.1,0,1,0,0.0,12.86,0.0,0.0,,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
506,Tariq Lamptey,ghGHA,DF,Brighton,24-215,2000.0,8.5,2,6,2,33.3,0.71,0.24,0.33,1.0,18.5,0,0,0,0.4,0.4,0.06,1.6,1.6,Matches
507,Taylor Harwood-Bellis,engENG,DF,Southampton,23-093,2002.0,28.5,1,19,7,36.8,0.67,0.25,0.05,0.14,10.6,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
508,Thiago,brBRA,FW,Brentford,23-311,2001.0,1.5,0,1,0,0.0,0.68,0.0,0.0,,14.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
509,Thomas Partey,ghGHA,"MF,DF",Arsenal,31-324,1993.0,27.1,4,23,7,30.4,0.85,0.26,0.17,0.57,19.5,0,0,0,2.0,2.0,0.09,2.0,2.0,Matches
510,Tim Iroegbunam,engENG,MF,Everton,21-307,2003.0,6.3,0,5,0,0.0,0.8,0.0,0.0,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
511,Timo Werner,deGER,"FW,MF",Tottenham,29-058,1996.0,5.7,0,8,3,37.5,1.4,0.52,0.0,0.0,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
512,Timothy Castagne,beBEL,DF,Fulham,29-149,1995.0,18.1,0,8,3,37.5,0.44,0.17,0.0,0.0,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
513,Toby Collyer,engENG,MF,Manchester Utd,21-120,2004.0,2.0,0,1,0,0.0,0.5,0.0,0.0,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
514,Tom Cairney,sctSCO,MF,Fulham,34-103,1991.0,5.5,1,5,2,40.0,0.91,0.36,0.2,0.5,23.3,1,0,0,0.2,0.2,0.04,0.8,0.8,Matches
515,Tommy Doyle,engENG,MF,Wolves,23-198,2001.0,5.4,0,9,2,22.2,1.66,0.37,0.0,0.0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
516,Tomáš Souček,czCZE,MF,West Ham,30-065,1995.0,25.0,8,50,14,28.0,2.0,0.56,0.16,0.57,11.2,0,0,0,5.9,5.9,0.12,2.1,2.1,Matches
517,Tosin Adarabioyo,engENG,DF,Chelsea,27-221,1997.0,13.7,1,12,2,16.7,0.88,0.15,0.08,0.5,12.5,0,0,0,0.9,0.9,0.08,0.1,0.1,Matches
518,Toti Gomes,ptPOR,DF,Wolves,26-107,1999.0,26.0,0,7,2,28.6,0.27,0.08,0.0,0.0,11.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
519,Trent Alexander-Arnold,engENG,DF,Liverpool,26-208,1998.0,24.9,3,42,8,19.0,1.69,0.32,0.07,0.38,23.5,2,0,0,1.8,1.8,0.04,1.2,1.2,Matches
520,Trevoh Chalobah,engENG,DF,Chelsea,25-302,1999.0,8.3,0,6,2,33.3,0.72,0.24,0.0,0.0,10.8,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
521,Trevoh Chalobah,engENG,DF,Crystal Palace,25-302,1999.0,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,1.8,1.8,Matches
522,Tyler Adams,usUSA,MF,Bournemouth,26-078,1999.0,18.0,0,8,2,25.0,0.44,0.11,0.0,0.0,16.1,0,0,0,1.6,1.6,0.19,-1.6,-1.6,Matches
523,Tyler Dibling,engENG,"FW,MF",Southampton,19-052,2006.0,18.9,2,28,9,32.1,1.48,0.48,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5,Matches
524,Tyler Fredricson,engENG,DF,Manchester Utd,20-069,2005.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
525,Tyrell Malacia,nlNED,DF,Manchester Utd,25-259,1999.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
526,Tyrick Mitchell,engENG,DF,Crystal Palace,25-244,1999.0,31.7,0,11,2,18.2,0.35,0.06,0.0,0.0,13.4,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
527,Tyrique George,engENG,FW,Chelsea,19-088,2006.0,1.1,1,3,1,33.3,2.62,0.87,0.33,1.0,15.0,0,0,0,0.2,0.2,0.07,0.8,0.8,Matches
528,Tyrone Mings,engENG,DF,Aston Villa,32-051,1993.0,11.7,0,9,1,11.1,0.77,0.09,0.0,0.0,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
529,Valentino Livramento,engENG,DF,Newcastle Utd,22-172,2002.0,27.6,0,5,1,20.0,0.18,0.04,0.0,0.0,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
530,Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-138,2002.0,26.4,0,3,0,0.0,0.11,0.0,0.0,,17.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
531,Victor Lindelöf,seSWE,DF,Manchester Utd,30-290,1994.0,5.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
532,Virgil van Dijk,nlNED,DF,Liverpool,33-299,1991.0,34.0,2,24,7,29.2,0.71,0.21,0.08,0.29,13.6,1,0,0,2.0,2.0,0.08,0.0,0.0,Matches
533,Vitaliy Mykolenko,uaUKR,DF,Everton,25-339,1999.0,30.2,0,12,0,0.0,0.4,0.0,0.0,,20.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
534,Vitaly Janelt,deGER,MF,Brentford,26-358,1998.0,25.0,1,14,4,28.6,0.56,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
535,Vitezslav Jaros,czCZE,GK,Liverpool,23-284,2001.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
536,Vitor Reis,brBRA,DF,Manchester City,19-111,2006.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
537,Vladimír Coufal,czCZE,DF,West Ham,32-254,1992.0,9.6,0,4,1,25.0,0.42,0.1,0.0,0.0,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
538,Wataru Endo,jpJPN,MF,Liverpool,32-083,1993.0,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
539,Welington,brBRA,"DF,MF",Southampton,24-073,2001.0,2.4,0,3,0,0.0,1.26,0.0,0.0,,31.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
540,Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-161,1994.0,10.3,0,7,1,14.3,0.68,0.1,0.0,0.0,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
541,Wesley Fofana,frFRA,DF,Chelsea,24-137,2000.0,13.0,0,3,0,0.0,0.23,0.0,0.0,,10.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
542,Wilfred Ndidi,ngNGA,MF,Leicester City,28-138,1996.0,22.9,0,20,8,40.0,0.88,0.35,0.0,0.0,14.5,0,0,0,1.8,1.8,0.09,-1.8,-1.8,Matches
543,Will Alves,engENG,FW,Leicester City,20-089,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
544,Will Hughes,engENG,MF,Crystal Palace,30-016,1995.0,20.8,0,19,1,5.3,0.91,0.05,0.0,0.0,22.6,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
545,Will Lankshear,engENG,"FW,MF",Tottenham,20-013,2005.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
546,William Osula,dkDEN,FW,Newcastle Utd,21-272,2003.0,1.2,1,3,1,33.3,2.6,0.87,0.33,1.0,14.5,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches
547,William Saliba,frFRA,DF,Arsenal,24-040,2001.0,31.3,2,6,2,33.3,0.19,0.06,0.33,1.0,5.4,0,0,0,2.3,2.3,0.38,-0.3,-0.3,Matches
548,William Smallbone,ieIRL,MF,Southampton,25-071,2000.0,6.8,1,6,1,16.7,0.88,0.15,0.17,1.0,19.3,1,0,0,0.4,0.4,0.07,0.6,0.6,Matches
549,Willian,brBRA,"FW,MF",Fulham,36-267,1988.0,2.5,0,7,0,0.0,2.79,0.0,0.0,,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
550,Willy Boly,ciCIV,DF,Nott'ham Forest,34-089,1991.0,1.7,0,1,1,100.0,0.6,0.6,0.0,0.0,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
551,Wilson Odobert,frFRA,FW,Tottenham,20-156,2004.0,6.0,0,10,2,20.0,1.67,0.33,0.0,0.0,17.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
552,Wout Faes,beBEL,DF,Leicester City,27-030,1998.0,27.3,1,11,1,9.1,0.4,0.04,0.09,1.0,10.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
553,Woyo Coulibaly,frFRA,DF,Leicester City,25-348,1999.0,1.2,0,2,1,50.0,1.65,0.83,0.0,0.0,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
554,Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-285,2004.0,16.6,5,28,13,46.4,1.68,0.78,0.18,0.38,13.6,0,0,0,3.7,3.7,0.13,1.3,1.3,Matches
555,Yasin Ayari,seSWE,MF,Brighton,21-209,2003.0,19.3,1,25,7,28.0,1.3,0.36,0.04,0.14,19.0,2,0,0,2.2,2.2,0.09,-1.2,-1.2,Matches
556,Yehor Yarmoliuk,uaUKR,MF,Brentford,21-063,2004.0,12.5,0,9,2,22.2,0.72,0.16,0.0,0.0,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
557,Yerson Mosquera,coCOL,DF,Wolves,24-001,2001.0,4.9,0,2,0,0.0,0.41,0.0,0.0,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
558,Yoane Wissa,cdCOD,FW,Brentford,28-242,1996.0,28.4,17,76,35,46.1,2.67,1.23,0.22,0.49,13.6,0,0,0,15.3,15.3,0.2,1.7,1.7,Matches
559,Youri Tielemans,beBEL,MF,Aston Villa,27-361,1997.0,32.4,2,36,11,30.6,1.11,0.34,0.06,0.18,20.4,0,0,1,3.0,2.3,0.06,-1.0,-0.3,Matches
560,Youssef Chermiti,ptPOR,"FW,MF",Everton,20-344,2004.0,0.5,0,3,1,33.3,6.14,2.05,0.0,0.0,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
561,Yukinari Sugawara,jpJPN,"DF,MF",Southampton,24-309,2000.0,16.3,1,13,5,38.5,0.8,0.31,0.08,0.2,19.2,1,0,0,0.5,0.5,0.04,0.5,0.5,Matches
562,Yunus Emre Konak,trTUR,"FW,MF",Brentford,19-113,2006.0,0.5,0,1,0,0.0,2.2,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
563,Yves Bissouma,mlMLI,MF,Tottenham,28-246,1996.0,13.4,2,10,4,40.0,0.74,0.3,0.2,0.5,23.2,0,0,0,0.6,0.6,0.06,1.4,1.4,Matches
