Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
77,Caleb Kporha,engENG,DF,Crystal Palace,18-292,2006.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,Caleb Okoli,itITA,DF,Leicester City,23-294,2001.0,12.5,1,4,2,50.0,0.32,0.16,0.25,0.5,13.5,0,0,0,0.6,0.6,0.15,0.4,0.4,Matches
79,Callum Hudson-Odoi,engENG,"FW,MF",Nott'ham Forest,24-177,2000.0,23.9,5,37,17,45.9,1.55,0.71,0.14,0.29,18.3,0,0,0,2.5,2.5,0.07,2.5,2.5,Matches
80,Callum Wilson,engENG,FW,Newcastle Utd,33-065,1992.0,3.0,0,5,0,0.0,1.68,0.0,0.0,,15.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
81,Calvin Bassey,ngNGA,DF,Fulham,25-123,1999.0,31.2,1,14,4,28.6,0.45,0.13,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
82,Cameron Archer,engENG,FW,Southampton,23-286,2001.0,15.1,2,27,9,33.3,1.79,0.6,0.07,0.22,13.1,0,0,1,5.1,4.3,0.16,-3.1,-2.3,Matches
83,Cameron Burgess,auAUS,DF,Ipswich Town,29-194,1995.0,15.1,0,9,1,11.1,0.6,0.07,0.0,0.0,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
84,Caoimhín Kelleher,ieIRL,GK,Liverpool,26-161,1998.0,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
85,Carlos Alcaraz,arARG,"FW,MF",Everton,22-154,2002.0,5.5,1,19,6,31.6,3.48,1.1,0.05,0.17,20.4,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
86,Carlos Alcaraz,arARG,MF,Southampton,22-154,2002.0,0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
87,Carlos Baleba,cmCMR,MF,Brighton,21-120,2004.0,25.7,3,40,11,27.5,1.56,0.43,0.08,0.27,25.1,1,0,0,3.0,3.0,0.07,0.0,0.0,Matches
88,Carlos Forbs,ptPOR,"MF,FW",Wolves,21-045,2004.0,2.7,0,2,0,0.0,0.75,0.0,0.0,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
89,Carlos Soler,esESP,"MF,FW",West Ham,28-121,1997.0,15.0,1,24,7,29.2,1.6,0.47,0.04,0.14,19.1,1,0,0,1.7,1.7,0.07,-0.7,-0.7,Matches
90,Carlos Vinícius,brBRA,"MF,FW",Fulham,30-039,1995.0,0.2,0,1,1,100.0,5.63,5.63,0.0,0.0,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
91,Casemiro,brBRA,MF,Manchester Utd,33-069,1992.0,14.8,1,28,8,28.6,1.89,0.54,0.04,0.13,18.8,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
92,Chadi Riad,maMAR,DF,Crystal Palace,21-320,2003.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
93,Charlie Taylor,engENG,DF,Southampton,31-227,1993.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,Cheick Doucouré,mlMLI,MF,Crystal Palace,25-115,2000.0,5.0,0,7,0,0.0,1.39,0.0,0.0,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
95,Chidozie Obi-Martin,dkDEN,FW,Manchester Utd,17-155,2007.0,0.7,0,2,1,50.0,2.77,1.38,0.0,0.0,11.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
96,Chiedozie Ogbene,ieIRL,FW,Ipswich Town,28-002,1997.0,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
97,Chiquinho,ptPOR,MF,Wolves,25-087,2000.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,Chris Richards,usUSA,DF,Crystal Palace,25-036,2000.0,17.4,1,10,5,50.0,0.58,0.29,0.1,0.2,11.8,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
