Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Pto1/3,PPA,CrsPA,PrgPp,Matches
419,Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-203,1997.0,33.0,728,898,81.1,14579,5382,222,255,87.1,402,461,87.2,90,148,60.8,2,1.0,0.5,1.0,8,48,2,0,49,Matches
420,Noni Madueke,engENG,FW,Chelsea,23-054,2002.0,19.1,452,583,77.5,6706,1677,275,318,86.5,140,184,76.1,22,39,56.4,3,3.9,2.8,-0.9,28,12,33,8,63,Matches
421,Noussair Mazraoui,maMAR,DF,Manchester Utd,27-170,1997.0,29.3,1409,1648,85.5,21053,7518,781,855,91.3,523,587,89.1,63,116,54.3,1,1.3,1.7,-0.3,18,118,18,5,102,Matches
422,Nélson Semedo,ptPOR,DF,Wolves,31-168,1993.0,29.6,973,1214,80.1,14811,4410,525,576,91.1,367,443,82.8,54,116,46.6,4,2.7,1.4,1.3,21,63,25,11,70,Matches
423,Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-107,1998.0,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4,Matches
424,Odsonne Édouard,frFRA,FW,Leicester City,27-107,1998.0,0.3,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
425,Ola Aina,ngNGA,DF,Nott'ham Forest,28-207,1996.0,29.4,868,1184,73.3,13423,5594,459,520,88.3,322,438,73.5,54,148,36.5,1,0.9,1.8,0.1,13,78,18,8,95,Matches
426,Oleksandr Zinchenko,uaUKR,"DF,MF",Arsenal,28-139,1996.0,5.0,302,364,83.0,4814,1023,159,172,92.4,123,143,86.0,14,31,45.2,1,0.1,0.3,0.9,2,24,7,1,35,Matches
427,Oliver Scarles,engENG,DF,West Ham,19-142,2005.0,6.6,260,333,78.1,3880,1062,157,177,88.7,91,109,83.5,10,34,29.4,0,0.0,0.1,0.0,1,9,5,1,21,Matches
428,Oliver Skipp,engENG,MF,Leicester City,24-229,2000.0,10.1,352,416,84.6,5339,1356,180,205,87.8,135,145,93.1,18,29,62.1,0,0.3,0.3,-0.3,9,28,4,0,29,Matches
429,Ollie Watkins,engENG,FW,Aston Villa,29-124,1995.0,25.1,277,376,73.7,3489,579,175,222,78.8,73,90,81.1,9,12,75.0,7,2.9,1.6,4.1,22,11,11,0,28,Matches
430,Omar Marmoush,egEGY,"FW,MF",Manchester City,26-085,1999.0,11.1,203,260,78.1,2782,722,133,159,83.6,55,69,79.7,7,14,50.0,0,1.7,1.4,-1.7,13,8,24,4,29,Matches
431,Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-185,2003.0,24.7,581,742,78.3,9129,1609,292,331,88.2,247,292,84.6,29,55,52.7,2,2.5,1.6,-0.5,23,43,20,9,69,Matches
432,Orel Mangala,beBEL,MF,Everton,27-046,1998.0,14.0,437,490,89.2,6998,1567,219,242,90.5,187,197,94.9,23,30,76.7,0,0.6,0.6,-0.6,8,50,8,1,34,Matches
433,Oscar Bobb,noNOR,FW,Manchester City,21-295,2003.0,0.2,9,11,81.8,116,22,5,7,71.4,3,3,100.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
434,Pablo Sarabia,esESP,"MF,FW",Wolves,32-357,1992.0,8.0,260,371,70.1,4467,1692,118,136,86.8,91,117,77.8,34,69,49.3,2,1.6,1.8,0.4,13,36,17,2,51,Matches
435,Pape Matar Sarr,snSEN,MF,Tottenham,22-231,2002.0,18.2,824,944,87.3,12681,2927,433,474,91.4,320,354,90.4,43,59,72.9,2,1.5,0.7,0.5,14,82,10,2,79,Matches
436,Patrick Dorgu,dkDEN,DF,Manchester Utd,20-189,2004.0,6.5,261,328,79.6,3523,846,171,193,88.6,74,101,73.3,6,16,37.5,0,0.4,1.0,-0.4,7,15,6,2,21,Matches
437,Patson Daka,zmZAM,"FW,MF",Leicester City,26-206,1998.0,7.2,100,139,71.9,1396,254,61,76,80.3,31,43,72.1,3,3,100.0,0,0.1,0.1,-0.1,1,6,1,0,8,Matches
438,Pau Torres,esESP,DF,Aston Villa,28-107,1997.0,19.2,1032,1169,88.3,17916,6794,447,472,94.7,509,547,93.1,64,125,51.2,0,0.1,0.4,-0.1,2,93,7,0,74,Matches
439,Paul Onuachu,ngNGA,FW,Southampton,30-340,1994.0,10.9,151,246,61.4,2135,343,83,130,63.8,38,62,61.3,12,19,63.2,1,0.5,0.3,0.5,8,13,2,0,12,Matches
440,Pedro Lima,brBRA,DF,Wolves,18-306,2006.0,0.8,28,38,73.7,457,188,14,17,82.4,11,14,78.6,3,5,60.0,0,0.1,0.1,-0.1,2,2,3,2,4,Matches
441,Pedro Neto,ptPOR,FW,Chelsea,25-055,2000.0,21.4,618,787,78.5,10072,2121,309,333,92.8,230,283,81.3,55,115,47.8,4,5.4,4.2,-1.4,42,28,33,21,56,Matches
442,Pedro Porro,esESP,DF,Tottenham,25-232,1999.0,27.4,1324,1802,73.5,23083,9131,651,744,87.5,512,646,79.3,133,301,44.2,6,4.0,4.3,2.0,54,120,55,26,147,Matches
