Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lostm,Won%,Matches
87,Carlos Baleba,cmCMR,MF,Brighton,21-120,2004.0,25.7,8,1,1,38,43,0,8,40,41,0,2,0,172,38,23,62.3,Matches
88,Carlos Forbs,ptPOR,"MF,FW",Wolves,21-045,2004.0,2.7,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0,Matches
89,Carlos Soler,esESP,"MF,FW",West Ham,28-121,1997.0,15.0,5,0,0,24,17,0,31,8,10,0,0,0,63,9,11,45.0,Matches
90,Carlos Vinícius,brBRA,"MF,FW",Fulham,30-039,1995.0,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Matches
91,Casemiro,brBRA,MF,Manchester Utd,33-069,1992.0,14.8,3,0,0,17,18,3,19,12,46,0,0,0,89,31,17,64.6,Matches
92,Chadi Riad,maMAR,DF,Crystal Palace,21-320,2003.0,1.0,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3,Matches
93,Charlie Taylor,engENG,DF,Southampton,31-227,1993.0,3.0,1,0,0,2,2,0,9,3,5,0,0,0,7,4,2,66.7,Matches
94,Cheick Doucouré,mlMLI,MF,Crystal Palace,25-115,2000.0,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0,Matches
95,Chidozie Obi-Martin,dkDEN,FW,Manchester Utd,17-155,2007.0,0.7,1,0,0,0,0,0,0,0,1,0,0,0,8,1,1,50.0,Matches
96,Chiedozie Ogbene,ieIRL,FW,Ipswich Town,28-002,1997.0,2.6,0,0,0,2,7,1,4,1,3,0,0,0,6,1,6,14.3,Matches
97,Chiquinho,ptPOR,MF,Wolves,25-087,2000.0,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
98,Chris Richards,usUSA,DF,Crystal Palace,25-036,2000.0,17.4,4,1,1,11,4,1,1,10,27,1,0,0,48,33,35,48.5,Matches
99,Chris Wood,nzNZL,FW,Nott'ham Forest,33-147,1991.0,28.9,1,0,0,22,20,26,1,5,4,0,0,0,42,82,123,40.0,Matches
100,Christian Eriksen,dkDEN,MF,Manchester Utd,33-078,1992.0,11.0,4,0,0,8,3,0,74,7,9,0,0,0,59,2,5,28.6,Matches
101,Christian Nørgaard,dkDEN,MF,Brentford,31-054,1994.0,27.3,6,1,0,39,26,1,14,43,45,0,0,0,175,42,29,59.2,Matches
102,Christian Walton,engENG,GK,Ipswich Town,29-175,1995.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,100.0,Matches
103,Christopher Nkunku,frFRA,FW,Chelsea,27-170,1997.0,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1,Matches
104,Cody Gakpo,nlNED,FW,Liverpool,25-361,1999.0,18.1,5,0,0,17,23,5,64,11,14,1,0,0,62,15,22,40.5,Matches
105,Cole Palmer,engENG,MF,Chelsea,22-362,2002.0,31.5,6,0,0,12,55,6,133,8,16,1,0,0,93,1,7,12.5,Matches
106,Conor Bradley,nirNIR,DF,Liverpool,21-298,2003.0,5.9,3,0,0,8,10,0,5,3,8,0,0,0,34,7,6,53.8,Matches
107,Conor Chaplin,engENG,"MF,FW",Ipswich Town,28-076,1997.0,7.2,1,0,0,10,5,0,9,3,5,0,0,0,23,2,8,20.0,Matches
108,Conor Coady,engENG,DF,Leicester City,32-067,1993.0,15.0,2,0,0,7,2,1,0,11,8,0,2,0,46,13,16,44.8,Matches
109,Conor Townsend,engENG,DF,Ipswich Town,32-060,1993.0,3.7,1,0,0,2,4,0,12,4,8,0,0,0,8,6,4,60.0,Matches
110,Craig Dawson,engENG,DF,Wolves,34-362,1990.0,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6,Matches
111,Cristian Romero,arARG,DF,Tottenham,27-006,1998.0,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3,Matches
112,Crysencio Summerville,nlNED,"FW,MF",West Ham,23-185,2001.0,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8,Matches
113,Curtis Jones,engENG,"MF,DF",Liverpool,24-093,2001.0,16.0,3,1,1,15,23,1,6,5,18,1,0,0,78,13,12,52.0,Matches
114,Daichi Kamada,jpJPN,MF,Crystal Palace,28-271,1996.0,14.9,3,1,0,25,17,2,27,16,25,0,0,0,67,3,12,20.0,Matches
115,Dan Burn,engENG,DF,Newcastle Utd,32-359,1992.0,33.0,10,0,0,28,11,5,2,25,19,0,0,2,91,127,62,67.2,Matches
116,Dane Scarlett,engENG,"FW,MF",Tottenham,21-040,2004.0,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0,Matches
117,Dango Ouattara,bfBFA,FW,Bournemouth,23-081,2002.0,21.5,2,0,0,15,19,14,85,11,25,0,0,0,88,43,59,42.2,Matches
118,Daniel Bentley,engENG,GK,Wolves,31-294,1993.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
119,Daniel Jebbison,engENG,FW,Bournemouth,21-263,2003.0,0.8,1,0,0,2,2,0,1,1,1,0,0,0,8,2,9,18.2,Matches
120,Daniel Muñoz,coCOL,DF,Crystal Palace,28-342,1996.0,31.9,9,0,0,47,19,13,60,39,70,0,0,0,149,56,73,43.4,Matches
121,Daniel Podence,ptPOR,"MF,FW",Wolves,29-194,1995.0,0.5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0.0,Matches
122,Danilo,brBRA,"MF,FW",Nott'ham Forest,24-004,2001.0,3.0,0,0,0,1,0,0,3,3,3,0,0,0,18,1,1,50.0,Matches
123,Danny Ings,engENG,"FW,MF",West Ham,32-284,1992.0,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4,Matches
124,Danny Ward,wlsWAL,GK,Leicester City,31-315,1993.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
125,Danny Welbeck,engENG,FW,Brighton,34-158,1990.0,20.6,4,0,0,11,21,3,3,5,13,0,0,0,37,15,24,38.5,Matches
126,Dara O'Shea,ieIRL,DF,Ipswich Town,26-060,1999.0,30.7,6,0,0,16,22,3,6,31,28,0,0,0,98,100,77,56.5,Matches
