STT,Player,Age,Squad,ETV
253,Wilfred Ndidi,28,Leicester City,€20.3M
254,Taiwo Awoniyi,27,Nott'ham Forest,€20.2M
255,Trevoh Chalobah,25,Chelsea,€20.1M
256,Kevin De Bruyne,33,Manchester City,€20.1M
257,Felipe Morato,23,Nott'ham Forest,€20M
258,Antonín Kinský,22,Tottenham,€20M
259,Oleksandr Zinchenko,28,Arsenal,€19.9M
260,Nathan Patterson,23,Everton,€19.9M
261,James McAtee,22,Manchester City,€19.8M
262,Mads Hermansen,24,Leicester City,€19.8M
263,Djed Spence,24,Tottenham,€19.8M
264,Jake O'Brien,23,Everton,€19.7M
265,Marco Asensio,29,Aston Villa,€19.6M
266,Carlos Alcaraz,22,Everton,€19.6M
267,Dara O'Shea,26,Ipswich Town,€19.5M
268,Jack Clarke,24,Ipswich Town,€19.4M
269,Romain Esse,19,Crystal Palace,€19.4M
270,Lewis Cook,28,Bournemouth,€19.3M
271,Ederson,31,Manchester City,€19.1M
272,Konstantinos Mavropanos,27,West Ham,€19.1M
273,Andreas Pereira,29,Fulham,€19M
274,Nicolás Domínguez,26,Nott'ham Forest,€18.8M
275,Ola Aina,28,Nott'ham Forest,€18.8M
276,Aaron Ramsdale,26,Southampton,€18.7M
277,Toti Gomes,26,Wolves,€18.6M
278,Armando Broja,23,Everton,€18.6M
279,Cameron Archer,23,Southampton,€18.6M
280,Kamaldeen Sulemana,23,Southampton,€18.5M
281,Ryan Yates,27,Nott'ham Forest,€18.3M
282,Marshall Munetsi,28,Wolves,€18.3M
283,Yehor Yarmoliuk,21,Brentford,€18M
284,Emmanuel Agbadou,27,Wolves,€18M
285,Jacob Murphy,30,Newcastle Utd,€17.9M
286,Issa Diop,28,Fulham,€17.9M
287,Dominic Calvert-Lewin,28,Everton,€17.8M
288,Jack Harrison,28,Everton,€17.7M
289,Hee-chan Hwang,29,Wolves,€17.6M
290,Raheem Sterling,30,Arsenal,€17.5M
291,Emiliano Martínez,32,Aston Villa,€17.5M
292,Luke Shaw,29,Manchester Utd,€17.5M
293,Jota Silva,25,Nott'ham Forest,€17.4M
294,Ramón Sosa,25,Nott'ham Forest,€17.4M
295,Timothy Castagne,29,Fulham,€17.4M
296,Kalvin Phillips,29,Ipswich Town,€17.2M
297,James Justin,27,Leicester City,€17M
298,Oliver Skipp,24,Leicester City,€17M
299,Mats Wieffer,25,Brighton,€16.8M
300,Youssef Chermiti,20,Everton,€16.8M
301,Marc Guiu,19,Chelsea,€16.7M
302,Caleb Okoli,23,Leicester City,€16.7M
303,Kyle Walker-Peters,28,Southampton,€16.6M
304,Albert Grønbæk,23,Southampton,€16.6M
305,Enes Ünal,27,Bournemouth,€16.4M
306,Gonçalo Guedes,28,Wolves,€16.2M
307,Ryan Christie,30,Bournemouth,€16.2M
308,Yukinari Sugawara,24,Southampton,€15.7M
309,Chris Richards,25,Crystal Palace,€15.7M
310,Tyrique George,19,Chelsea,€15.7M
311,Matheus França,21,Crystal Palace,€15.5M
312,Jens Cajuste,25,Ipswich Town,€15.5M
313,Luis Sinisterra,25,Bournemouth,€15.4M
314,Boubakary Soumaré,26,Leicester City,€15.4M
315,Armel Bella-Kotchap,23,Southampton,€15.4M
316,Mathis Amougou,19,Chelsea,€15.3M
317,Thomas Partey,31,Arsenal,€15.2M
318,Nasser Djiga,22,Wolves,€14.7M
319,Rico Henry,27,Brentford,€14.7M
320,Mathias Jensen,29,Brentford,€14.7M
321,Daichi Kamada,28,Crystal Palace,€14.6M
322,Harry Wilson,28,Fulham,€14.5M
323,Christian Nørgaard,31,Brentford,€14.4M
324,Julian Araujo,23,Bournemouth,€14.3M
325,Sammie Szmodics,29,Ipswich Town,€14.1M
326,Kenny Tete,29,Fulham,€14M
327,Tommy Doyle,23,Wolves,€14M
328,Patson Daka,26,Leicester City,€14M
329,Tim Iroegbunam,21,Everton,€13.8M
330,Harry Maguire,32,Manchester Utd,€13.7M
331,Bernd Leno,33,Fulham,€13.7M
332,Guido Rodríguez,31,West Ham,€13.6M
333,Lucas Digne,31,Aston Villa,€13.6M
334,Jefferson Lerma,30,Crystal Palace,€13.6M
335,Mark Flekken,31,Brentford,€13.6M
336,Tariq Lamptey,24,Brighton,€13.6M
337,Victor Lindelöf,30,Manchester Utd,€13.5M
338,Niclas Füllkrug,32,West Ham,€13.4M
339,Altay Bayındır,27,Manchester Utd,€13.2M
340,Aaron Anselmino,20,Chelsea,€13.2M
341,Julio Soler,20,Bournemouth,€13.2M
342,Pedro Lima,18,Wolves,€13.1M
343,Carlos Forbs,21,Wolves,€13M
344,David Brooks,27,Bournemouth,€13M
345,Jan Bednarek,29,Southampton,€12.9M
346,David Datro Fofana,22,Chelsea,€12.9M
347,Stephy Mavididi,26,Leicester City,€12.9M
348,Paul Onuachu,30,Southampton,€12.7M
349,Ben Johnson,25,Ipswich Town,€12.6M
350,Emerson Palmieri,30,West Ham,€12.6M
351,Yerson Mosquera,24,Wolves,€12.4M
352,Odsonne Édouard,27,Leicester City,€12.4M
353,Adam Webster,30,Brighton,€12.2M
354,Saša Lukić,28,Fulham,€12.1M
355,İlkay Gündoğan,34,Manchester City,€12.1M
